N, V, Time (ms)
1000000, 2, 23.5861
1000000, 4, 23.2976
1000000, 8, 22.9683
1000000, 16, 24.1306
1000000, 32, 22.5958
1000000, 64, 21.0193
1000000, 128, 26.0165
1000000, 256, 24.6754
