N, V, Time (ms)
100000000, 2, 5033.67
100000000, 4, 2562.85
100000000, 8, 2245.73
100000000, 16, 2232.29
100000000, 32, 2222.05
100000000, 64, 2214.32
100000000, 128, 2250.68
100000000, 256, 2297.13
