N, V, Time (ms)
100000, 2, 1.86017
100000, 4, 2.27981
100000, 8, 2.23588
100000, 16, 2.23269
100000, 32, 1.91131
100000, 64, 2.0135
100000, 128, 3.18042
100000, 256, 2.14806
