N, V, Time (ms)
10000, 2, 0.187807
10000, 4, 0.18406
10000, 8, 0.185383
10000, 16, 0.199739
10000, 32, 0.188498
10000, 64, 0.187337
10000, 128, 0.185142
10000, 256, 0.190412
