N, V, Time (ms)
10000000, 2, 229.107
10000000, 4, 328.246
10000000, 8, 446.196
10000000, 16, 219.869
10000000, 32, 226.409
10000000, 64, 228.664
10000000, 128, 252.284
10000000, 256, 231.558
